Date,Apv,Bpv,Cpv,Dpv,Epv,Fpv,Gpv,Hpv,NEWpv,,,,,,,,,,
2017-07-03-9,16.9823,13.924,18.9042,14.6159,17.0613,11.0176,8.45235,16.6633,25.0107,,,,,,,,,,
2017-07-03-10,23.1811,12.4138,27.2088,15.0974,27.8724,8.09898,13.0244,18.788,31.595,,,,,,,,,,
2017-07-03-11,20.8967,8.66184,23.8296,11.6478,15.8865,13.6992,10.9524,24.6439,24.2217,,,,,,,,,,
2017-07-03-12,13.0382,14.6825,22.1228,12.2752,14.0682,15.6291,18.8808,19.0306,20.2494,,,,,,,,,,
2017-07-03-13,8.9318,11.6319,19.8968,8.53889,15.9745,17.9146,11.3531,20.3099,26.0923,,,,,,,,,,
2017-07-03-14,9.52383,10.6285,18.5651,7.64618,15.4497,7.53015,5.95569,13.6894,22.8273,,,,,,,,,,
2017-07-03-15,4.02796,14.8235,8.58148,5.51023,8.68473,3.36554,3.4145,9.20837,3.57102,,,,,,,,,,
2017-07-03-16,2.66548,6.96706,5.18591,3.00409,3.80571,3.42988,2.31857,7.55785,1.53044,,,,,,,,,,
2017-07-03-17,1.3841,4.25876,2.18018,2.59623,2.30238,1.66923,1.69526,4.12814,0.612175,,,,,,,,,,
2017-07-03-18,0.824516,1.48,1.28255,1.05979,0.501107,0.453705,0.390424,0.915323,0.17345,,,,,,,,,,
2017-07-03-19,0.197343,0,0.494676,0.819,0.0304727,0.345358,0,0.40436,0.00680194,,,,,,,,,,
2017-07-03-20,0.0432533,0,0.067158,0.316134,0.0101576,0.0609455,0,0,0,,,,,,,,,,
2017-07-03-21,0,0,0,0,0.0135434,0,0,0,0.00340097,,,,,,,,,,
2017-07-03-22,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-03-23,0,0,0,0,0.0135434,0,0,0,0.00340097,,,,,,,,,,
2017-07-04-0,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-04-1,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-04-2,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-04-3,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-04-4,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-04-5,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-04-6,0.108133,0,0,0.027846,0.0169293,0.023701,0,0.29408,0.00340097,,,,,,,,,,
2017-07-04-7,1.34626,0.003356,0.224406,2.1769,0.0880324,1.11056,0,2.51071,0.0544156,,,,,,,,,,
2017-07-04-8,3.53055,2.35591,1.24816,3.81163,1.73356,3.62287,2.63023,5.16845,0.785625,,,,,,,,,,
2017-07-04-9,8.66688,5.22865,3.45454,7.22194,3.11161,5.83384,5.25361,14.2004,2.69017,,,,,,,,,,
2017-07-04-10,12.7868,11.9272,4.94512,10.457,4.77745,5.08895,14.6443,20.5415,3.79889,,,,,,,,,,
2017-07-04-11,12.4515,13.33,3.82473,21.81,5.23115,14.0141,25.0831,22.839,5.00963,,,,,,,,,,
2017-07-04-12,6.19333,14.2697,4.51597,23.2727,5.55281,16.4553,19.9664,13.4615,7.56716,,,,,,,,,,
2017-07-04-13,16.8796,17.6693,6.64537,29.4562,6.04376,21.8422,19.2849,18.8211,11.781,,,,,,,,,,
2017-07-04-14,39.7362,16.7632,7.86404,24.0966,4.30343,22.306,21.1583,37.4915,11.5565,,,,,,,,,,
2017-07-04-15,25.2924,11.9541,6.28009,11.7428,3.96146,12.4667,17.1068,38.8075,7.37671,,,,,,,,,,
2017-07-04-16,17.3797,17.3774,4.0819,11.6593,3.23011,16.6076,9.74349,36.3593,11.281,,,,,,,,,,
2017-07-04-17,9.14807,6.19518,2.60278,12.8272,3.51452,8.75922,11.223,19.5232,9.17582,,,,,,,,,,
2017-07-04-18,5.16066,8.27254,2.29811,11.2891,2.13309,5.77289,10.3702,16.5493,6.45504,,,,,,,,,,
2017-07-04-19,0.770449,4.99708,2.36036,4.71908,0.751661,3.69736,3.92822,6.38153,4.37365,,,,,,,,,,
2017-07-04-20,0.459566,0.241632,0.208026,1.13186,0.308113,0.477406,0.859619,0.584483,0.84004,,,,,,,,,,
2017-07-04-21,0.00270333,0,0,0,0.0135434,0,0,0,0.00340097,,,,,,,,,,
2017-07-04-22,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
