Date,Apv,Bpv,Cpv,Dpv,Epv,Fpv,Gpv,Hpv,NEWpv,,,,,,,,,,
2017-07-11-7,2.23025,2.55727,0.584766,1.87223,0.338586,1.39497,1.4658,2.9702,0.268677,,,,,,,,,,
2017-07-11-8,6.33661,6.20524,1.98034,3.3579,1.87915,6.76156,5.19881,11.5059,0.918262,,,,,,,,,,
2017-07-11-9,5.4364,16.0417,6.51105,15.3022,3.0642,9.56167,9.02771,15.4649,4.33284,,,,,,,,,,
2017-07-11-10,9.54816,32.6505,8.22276,29.9983,6.17581,12.7308,29.9017,20.6334,8.48883,,,,,,,,,,
2017-07-11-11,24.384,19.9548,5.19574,32.9271,7.57417,17.4846,12.5347,41.9688,13.6345,,,,,,,,,,
2017-07-11-12,34.3134,24.0021,13.0237,36.7829,14.8538,26.7178,22.3912,37.1717,12.1755,,,,,,,,,,
2017-07-11-13,46.8974,19.2299,23.6544,47.1138,16.9124,49.0679,28.7955,56.9816,20.2766,,,,,,,,,,
2017-07-11-14,46.2026,40.6076,25.5282,39.7854,29.2132,53.5508,48.0633,49.9531,14.8656,,,,,,,,,,
2017-07-11-15,42.326,36.1005,18.801,57.9852,24.385,51.78,51.1593,40.991,17.6919,,,,,,,,,,
2017-07-11-16,32.8617,27.6669,18.1146,37.9721,22.8376,38.3652,36.241,34.3853,16.3315,,,,,,,,,,
2017-07-11-17,22.5944,19.8642,7.38738,27.0811,14.7014,26.3962,25.2235,21.5009,20.4432,,,,,,,,,,
2017-07-11-18,2.8412,9.15181,3.62981,14.1556,10.1711,14.8741,2.04802,14.3401,10.0975,,,,,,,,,,
2017-07-11-19,1.79231,4.05405,1.02047,5.00409,3.26735,6.63629,0,6.34109,1.0611,,,,,,,,,,
2017-07-11-20,0.0648799,0.345668,0.76167,1.06798,0.484178,0.880324,0,1.23881,0.0476136,,,,,,,,,,
2017-07-11-21,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-11-22,0,0,0,0,0.0135434,0,0,0,0.00680194,,,,,,,,,,
2017-07-11-23,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-12-0,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-12-1,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-12-2,0,0,0,0,0.0135434,0,0,0,0.00340097,,,,,,,,,,
2017-07-12-3,0,0,0,0,0.0203152,0,0,0,0.00680194,,,,,,,,,,
2017-07-12-4,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-12-5,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-12-6,0.0648799,0,0.271908,0,0.260711,0,0,0.0624919,0.00340097,,,,,,,,,,
2017-07-12-7,0.654206,2.33913,2.13759,2.32924,3.22672,4.95351,0,5.11331,0.935267,,,,,,,,,,
2017-07-12-8,3.90902,5.50048,6.07534,6.7977,12.2026,11.0176,0,10.5097,6.84616,,,,,,,,,,
2017-07-12-9,17.5014,21.5858,8.04913,14.2359,19.6346,19.9596,0,22.7618,7.44133,,,,,,,,,,
2017-07-12-10,23.9055,24.9183,10.1884,25.6642,19.3874,33.3778,0,25.346,15.5799,,,,,,,,,,
2017-07-12-11,42.7505,39.5874,12.6503,41.1924,32.5855,30.2256,0,40.9947,23.7116,,,,,,,,,,
2017-07-12-12,43.1641,46.9437,33.6429,51.3841,10.0018,54.7053,0,45.9941,43.3182,,,,,,,,,,
2017-07-12-13,44.3968,51.0515,35.7199,46.4013,21.4833,51.9526,0,47.6556,57.6193,,,,,,,,,,
2017-07-12-14,49.3925,37.4697,56.1801,45.4856,50.8319,30.9806,0,64.0983,59.6258,,,,,,,,,,
2017-07-12-15,50.3711,43.3696,52.5749,43.6642,49.3557,27.0733,17.641,48.9018,42.7196,,,,,,,,,,
2017-07-12-16,33.6727,37.51,34.4275,43.6855,39.6789,30.2154,49.9538,54.368,24.4156,,,,,,,,,,
2017-07-12-17,30.6206,24.0793,30.9697,30.6191,24.2868,32.335,37.7308,27.445,29.2246,,,,,,,,,,
2017-07-12-18,15.3117,17.3136,14.8812,15.5594,13.1879,13.7364,24.6961,19.0012,12.4101,,,,,,,,,,
2017-07-12-19,6.50421,7.84968,5.6986,9.74446,5.54604,11.1226,12.8943,6.65355,9.40709,,,,,,,,,,
2017-07-12-20,0.619063,1.09406,1.53808,2.09828,0.975128,1.27986,1.4795,1.2094,0.952272,,,,,,,,,,
2017-07-12-21,0.00540666,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-12-22,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-12-23,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-13-0,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-13-1,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-13-2,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-13-3,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-13-4,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-13-5,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-13-6,0.135167,0,0.714168,0.31122,0.257325,0.213309,0,0.452148,0.295885,,,,,,,,,,
2017-07-13-7,5.96895,3.92988,4.7633,4.50122,4.84517,4.60138,5.66115,5.31917,3.23432,,,,,,,,,,
2017-07-13-8,16.8472,15.9041,14.5487,11.6839,10.8111,12.5074,23.0933,13.0498,17.1307,,,,,,,,,,
2017-07-13-9,25.0815,31.3786,20.7551,24.8337,20.2982,20.8975,34.717,25.9084,33.7546,,,,,,,,,,
2017-07-13-10,37.233,28.7609,26.0278,36.8976,17.5591,39.4283,40.7103,41.388,25.3066,,,,,,,,,,
2017-07-13-11,47.4705,53.2698,49.7248,30.0802,18.2633,42.3944,36.6896,40.6786,34.1015,,,,,,,,,,
2017-07-13-12,53.4746,36.7046,35.0417,58.5438,24.4154,50.4053,38.3746,67.6641,42.519,,,,,,,,,,
2017-07-13-13,45.1024,34.5366,25.6216,54.9844,20.1865,56.5506,38.4739,61.1906,40.8729,,,,,,,,,,
2017-07-13-14,47.5218,33.7916,36.8583,57.3726,29.5653,57.7221,33.5834,75.1043,35.751,,,,,,,,,,
2017-07-13-15,47.5218,31.1907,24.5602,42.5159,29.5518,45.919,39.087,57.5073,25.8134,,,,,,,,,,
2017-07-13-16,23.6487,27.3078,19.466,35.217,27.8826,42.2047,44.4776,52.1403,16.1002,,,,,,,,,,
2017-07-13-17,18.8611,29.7174,16.077,19.5037,15.7036,24.8116,36.6965,40.3955,12.3659,,,,,,,,,,
2017-07-13-18,7.0665,15.0718,12.5684,13.0991,8.25473,13.2997,19.9836,16.7552,8.66228,,,,,,,,,,
2017-07-13-19,5.18228,4.51046,4.88288,8.94348,4.48288,5.13635,6.07555,8.96943,6.02992,,,,,,,,,,
2017-07-13-20,0.713679,0.540316,1.42506,1.16462,0.948041,0.717802,0.551389,1.74242,1.0509,,,,,,,,,,
2017-07-13-21,0.00270333,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-13-22,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-13-23,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-14-0,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-14-1,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-14-2,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-14-3,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-14-4,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-14-5,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-14-6,0.34062,0,0.95004,0.461916,0.805835,0.382602,0,0.882239,0.73461,,,,,,,,,,
2017-07-14-7,4.04418,5.48706,6.47665,4.00163,4.73682,4.13075,5.35635,7.08364,4.37025,,,,,,,,,,
2017-07-14-8,18.7936,16.9914,12.5667,13.0418,13.2353,11.1903,14.5108,15.4612,10.5838,,,,,,,,,,
2017-07-14-9,19.9181,17.0451,23.0499,30.0704,21.2327,17.8638,27.0557,26.1878,34.4382,,,,,,,,,,
2017-07-14-10,29.8799,25.2237,27.2711,20.0065,32.5381,25.0858,22.1241,23.6514,47.0558,,,,,,,,,,
2017-07-14-11,44.3887,26.6265,36.0819,25.2432,48.6717,30.1308,27.2715,30.9004,34.2036,,,,,,,,,,
2017-07-14-12,46.4378,31.09,40.8484,23.7084,43.7385,34.5798,33.6313,25.9746,49.729,,,,,,,,,,
2017-07-14-13,43.8129,33.3117,41.4955,26,43.6708,44.5105,34.5046,24.1182,50.6133,,,,,,,,,,
2017-07-14-14,41.8178,29.5127,40.6552,37.0679,52.061,56.5066,41.7001,30.8122,53.5075,,,,,,,,,,
2017-07-14-15,36.9437,27.6266,36.6437,32.6912,43.5286,49.0543,28.912,50.8501,43.0495,,,,,,,,,,
2017-07-14-16,37.4871,25.17,34.0278,49.2219,39.32,30.6183,21.8227,54.6547,45.6615,,,,,,,,,,
2017-07-14-17,23.7677,18.9379,36.1834,33.5823,19.9766,21.9878,19.0897,44.0825,33.9757,,,,,,,,,,
2017-07-14-18,14.1465,12.038,18.9795,14.0917,12.6665,15.6054,15.6547,24.041,14.8282,,,,,,,,,,
2017-07-14-19,5.13903,6.07436,7.17444,6.54709,7.00196,6.49069,11.7847,12.5646,4.48928,,,,,,,,,,
2017-07-14-20,0.740712,0.442992,0.961506,1.27764,0.856623,0.927726,0.698654,1.08809,0.66659,,,,,,,,,,
2017-07-14-21,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-14-22,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-14-23,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-15-0,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-15-1,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-15-2,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-15-3,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-15-4,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-15-5,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-15-6,0.15409,0,0.324324,0.227682,0.169293,0.203152,0,0.327164,0.0408117,,,,,,,,,,
2017-07-15-7,3.46837,2.33578,3.27272,2.77477,1.88931,3.51791,10.8154,1.99974,3.04047,,,,,,,,,,
2017-07-15-8,14.99,16.3001,15.1564,10.059,9.82238,18.1245,41.3953,9.24513,15.6479,,,,,,,,,,
2017-07-15-9,28.4661,31.788,30.7633,25.5643,23.7518,32.616,53.2553,29.3381,30.9761,,,,,,,,,,
2017-07-15-10,37.0681,44.0576,38.4521,42.1719,36.3032,46.7553,60.324,46.7329,42.1244,,,,,,,,,,
2017-07-15-11,42.3855,49.162,53.6805,57.656,42.9496,59.0562,58.5363,59.6871,52.5484,,,,,,,,,,
2017-07-15-12,52.3473,46.6652,39.7706,65.425,40.1597,58.5449,61.5946,67.2744,57.2009,,,,,,,,,,
2017-07-15-13,55.7048,58.3978,62.5798,63.7116,42.1573,70.5512,46.6831,71.5312,61.68,,,,,,,,,,
2017-07-15-14,56.2752,52.7697,41.2203,58.873,39.6755,65.943,54.0121,67.1016,60.1768,,,,,,,,,,
2017-07-15-15,23.008,35.832,48.6093,51.3038,12.5615,62.4894,21.6172,64.1425,53.7218,,,,,,,,,,
2017-07-15-16,17.6365,43.6649,36.5438,38.0819,4.91627,50.236,43.9159,43.9943,50.8717,,,,,,,,,,
2017-07-15-17,20.3588,26.2976,10.8649,30.0311,2.90507,35.6396,54.7861,13.4394,37.4651,,,,,,,,,,
2017-07-15-18,4.10095,10.5915,8.54053,12.855,1.42545,30.2256,30.5935,4.68322,12.3387,,,,,,,,,,
2017-07-15-19,0.408203,4.12788,1.92629,10.2162,0.372445,10.1881,7.13038,0.882239,5.28851,,,,,,,,,,
2017-07-15-20,0.0919132,1.15782,0.841932,1.57248,0.111733,2.12632,1.66444,0.0808719,0.680194,,,,,,,,,,
2017-07-15-21,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-15-22,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-15-23,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-16-0,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-16-1,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-16-2,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-16-3,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-16-4,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-16-5,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-16-6,0.21086,0,0.33579,0.173628,0.206537,0.220081,0,0.227912,0.119034,,,,,,,,,,
2017-07-16-7,4.15502,2.78548,3.67731,2.28665,2.27868,3.96146,10.7743,3.29002,4.33624,,,,,,,,,,
2017-07-16-8,14.7791,14.5718,14.9631,8.21129,9.11812,16.4654,39.2274,10.6457,14.9779,,,,,,,,,,
2017-07-16-9,27.7389,29.9993,31.0385,24.321,23.2405,32.2334,38.1315,26.4378,29.0681,,,,,,,,,,
2017-07-16-10,40.085,42.3225,44.3472,34.6846,36.3574,37.4882,57.2109,43.884,40.5566,,,,,,,,,,
2017-07-16-11,41.8043,53.0114,54.1818,20.7829,45.4179,40.417,43.5495,46.5528,45.2465,,,,,,,,,,
2017-07-16-12,51.9256,51.1152,57.959,35.1679,52.0881,64.1722,35.6999,47.1048,34.7817,,,,,,,,,,
2017-07-16-13,54.3667,59.9314,63.4856,23.9607,56.7199,54.7087,44.3371,48.3755,30.2142,,,,,,,,,,
2017-07-16-14,54.81,55.9781,57.7821,24.1769,56.5066,53.3375,63.3207,39.509,35.4381,,,,,,,,,,
2017-07-16-15,52.7825,34.3621,42.7174,42.3669,54.1568,25.7766,64.6495,28.2874,8.48202,,,,,,,,,,
2017-07-16-16,44.24,16.6693,41.7821,11.5184,45.2791,44.9337,35.1519,13.8401,34.0607,,,,,,,,,,
2017-07-16-17,31.3911,4.03391,25.4349,17.33,40.3087,6.66676,4.62345,8.81871,24.4292,,,,,,,,,,
2017-07-16-18,20.7643,0.97324,20.1212,2.00164,20.393,0.13882,1.03771,6.17935,28.9559,,,,,,,,,,
2017-07-16-19,6.66912,0.003356,6.26863,0.422604,5.33612,0.00677172,0.00342478,2.0218,11.8388,,,,,,,,,,
2017-07-16-20,0.0892099,0,0.776412,0.263718,0.047402,0,0,0,4.1832,,,,,,,,,,
2017-07-16-21,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-16-22,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-16-23,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-17-0,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-17-1,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-17-2,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-17-3,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-17-4,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-17-5,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-17-6,0.183826,0,0.493038,0.22932,0.308113,0.23701,0.00342478,0.0955759,0.312889,,,,,,,,,,
2017-07-17-7,3.30888,3.356,2.62735,2.74365,2.54617,4.56075,8.3359,1.66523,4.10497,,,,,,,,,,
2017-07-17-8,12.3083,14.8704,15.0958,8.70597,9.73096,16.374,32.1552,3.93699,15.2262,,,,,,,,,,
2017-07-17-9,29.888,29.5865,32.1425,23.9361,23.7924,32.3688,52.4265,23.3132,30.9556,,,,,,,,,,
2017-07-17-10,43.0776,41.46,46.2882,41.312,36.117,40.8775,58.1047,44.8839,42.9747,,,,,,,,,,
2017-07-17-11,38.39,41.95,50.2866,53.1564,47.3072,48.6074,46.4365,58.6358,46.2974,,,,,,,,,,
2017-07-17-12,38.563,46.7927,46.357,54.4209,44.3548,53.8623,52.4093,57.7793,55.378,,,,,,,,,,
2017-07-17-13,41.8773,7.27245,58.1605,56.3832,46.1053,41.5343,30.7785,47.6409,56.1024,,,,,,,,,,
2017-07-17-14,39.6254,13.2931,55.2661,53.3824,48.9358,55.887,7.71602,60.3746,49.5726,,,,,,,,,,
2017-07-17-15,38.8469,26.7104,51.674,41.6216,30.3915,33.6216,52.6594,55.684,42.859,,,,,,,,,,
2017-07-17-16,21.2833,19.6729,24.2801,25.0041,26.8837,30.3779,27.1756,40.175,17.8041,,,,,,,,,,
2017-07-17-17,32.7887,14.1321,13.9017,33.3874,11.2478,20.1526,19.9356,36.9585,24.0415,,,,,,,,,,
2017-07-17-18,23.4784,8.53766,8.6126,13.0794,14.9249,10.5199,12.771,4.29724,6.94819,,,,,,,,,,
2017-07-17-19,8.02078,6.83617,4.11138,4.16052,3.42988,6.03022,14.5245,2.16149,6.81895,,,,,,,,,,
2017-07-17-20,0.492006,2.57405,1.09255,0.730548,1.02253,1.06316,1.76718,0.283052,1.7515,,,,,,,,,,
2017-07-17-21,0.00540666,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-17-22,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-17-23,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-18-0,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-18-1,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-18-2,0,0,0,0,0.0135434,0,0,0,0.00340097,,,,,,,,,,
2017-07-18-3,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-18-4,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-18-5,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-18-6,0.419016,0,0.402948,0.214578,0.223467,0.270869,0,0.1838,0.17345,,,,,,,,,,
2017-07-18-7,2.68441,3.49024,4.45864,2.91728,3.32153,2.73239,12.6306,2.21663,3.69686,,,,,,,,,,
2017-07-18-8,13.6626,15.5014,12.4816,10.4521,11.5526,11.5322,12.7402,9.16058,15.7295,,,,,,,,,,
2017-07-18-9,25.6573,16.1256,32.8517,15.1908,24.0193,18.1753,19.1308,27.1215,30.3809,,,,,,,,,,
2017-07-18-10,41.415,42.1077,47.0843,42.7567,35.0572,25.1773,52.2381,30.9115,44.1956,,,,,,,,,,
2017-07-18-11,47.1515,42.1245,47.6609,55.2972,22.1131,18.0534,45.9331,53.3056,47.2259,,,,,,,,,,
2017-07-18-12,49.5656,31.4759,63.1646,43.5659,43.6607,32.8767,46.6454,52.5888,58.4457,,,,,,,,,,
2017-07-18-13,55.1669,22.4886,43.7477,44.2211,49.3252,37.5221,32.1073,55.5921,63.2785,,,,,,,,,,
2017-07-18-14,36.8815,45.4,48.4258,49.6461,52.3115,26.2912,49.4161,38.1973,54.7284,,,,,,,,,,
2017-07-18-15,30.1854,37.4765,41.3235,38.2735,47.1346,27.8487,48.3065,59.1835,48.6067,,,,,,,,,,
2017-07-18-16,16.1227,40.7754,30.6634,46.3554,41.0874,28.7561,46.964,57.2242,42.9475,,,,,,,,,,
2017-07-18-17,22.3971,19.8541,27.715,18.5864,38.1349,12.6225,17.7575,18.8064,35.1286,,,,,,,,,,
2017-07-18-18,13.1706,10.6285,16.5913,11.0942,16.6076,14.461,18.6924,7.03586,3.40777,,,,,,,,,,
2017-07-18-19,6.76103,4.15473,8.67157,6.19655,5.62391,4.9332,6.0961,6.19773,0.10543,,,,,,,,,,
2017-07-18-20,1.02456,0.516824,1.04504,0.800982,0.954813,1.14103,0.0787699,0.856507,0.0578165,,,,,,,,,,
2017-07-18-21,0.01622,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-18-22,0,0,0,0,0.0135434,0,0,0,0.00340097,,,,,,,,,,
2017-07-18-23,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-19-0,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-19-1,0,0,0,0,0.0135434,0,0,0,0.00340097,,,,,,,,,,
2017-07-19-2,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-19-3,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-19-4,0,0,0,0,0.0135434,0,0,0,0.00340097,,,,,,,,,,
2017-07-19-5,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-19-6,0.124353,0,0.47502,0.03276,0.118505,0.0507879,0,0.191152,0.0306087,,,,,,,,,,
2017-07-19-7,2.82768,2.16126,5.41359,1.58886,2.84412,2.81026,3.32888,2.5732,2.83641,,,,,,,,,,
2017-07-19-8,11.5703,4.57423,8.63062,4.71416,8.66103,15.5885,28.501,9.54289,6.82575,,,,,,,,,,
2017-07-19-9,11.7135,13.716,16.5897,17.6953,16.0354,34.38,46.6352,12.2043,18.0149,,,,,,,,,,
2017-07-19-10,22.1619,33.1908,27.7477,29.5135,19.2351,50.4595,59.3068,15.7039,37.4753,,,,,,,,,,
2017-07-19-11,29.3582,48.1116,51.4103,31.6756,42.7668,61.5854,58.752,21.1259,51.8818,,,,,,,,,,
2017-07-19-12,42.1287,39.5706,32.7174,49.4496,32.9309,66.5051,68.7798,58.43,54.6536,,,,,,,,,,
2017-07-19-13,50.7766,52.9812,31.1498,59.4299,31.7797,69.3763,66.129,68.9212,32.4181,,,,,,,,,,
2017-07-19-14,43.2695,44.1079,38.2326,60.6535,35.1012,58.6499,57.776,64.3152,11.7232,,,,,,,,,,
2017-07-19-15,43.1803,37.4362,42.357,62.226,3.52468,58.7616,47.1489,47.3799,19.9297,,,,,,,,,,
2017-07-19-16,20.8994,24.7438,25.6888,38.7403,4.20524,50.341,36.1869,46.9498,45.8383,,,,,,,,,,
2017-07-19-17,27.8227,22.5993,20.0065,27.6806,8.70505,39.0559,46.1071,24.9343,32.6629,,,,,,,,,,
2017-07-19-18,16.6579,18.7097,21.1924,17.4791,8.12268,24.8861,30.3778,17.1118,23.9224,,,,,,,,,,
2017-07-19-19,4.27396,7.32279,13.887,11.43,6.14872,7.49291,24.1036,8.17542,13.859,,,,,,,,,,
2017-07-19-20,0.29196,0.818864,2.46355,2.87305,0.805835,1.19182,3.33573,1.09912,4.41106,,,,,,,,,,
2017-07-19-21,0.00270333,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-19-22,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-19-23,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-20-0,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-20-1,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-20-2,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-20-3,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-20-4,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-20-5,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-20-6,0.12165,0,0.178542,0.014742,0.111733,0.00677172,0,0.12866,0.0170049,,,,,,,,,,
2017-07-20-7,3.53325,0.87256,3.25634,2.13104,3.27751,1.5575,1.35621,2.91874,2.08139,,,,,,,,,,
2017-07-20-8,12.5462,9.67535,12.6929,7.47911,10.6248,6.45345,13.2539,9.85167,13.9712,,,,,,,,,,
2017-07-20-9,18.5286,22.116,28.8943,13.1073,20.3693,12.3618,42.3645,20.3025,24.5856,,,,,,,,,,
2017-07-20-10,28.4796,38.1477,43.2186,21.7084,35.8935,22.8004,58.3274,28.5515,30.3299,,,,,,,,,,
2017-07-20-11,22.8999,43.534,45.7919,25.4414,36.1813,33.5573,56.4403,33.2053,38.4514,,,,,,,,,,
2017-07-20-12,27.3388,48.0546,49.6756,36.1932,37.5153,49.4708,51.5977,29.6396,48.355,,,,,,,,,,
2017-07-20-13,33.2942,52.0079,44.1752,45.6625,46.8942,67.6935,50.7792,31.4298,46.226,,,,,,,,,,
2017-07-20-14,36.1165,51.3502,38.2178,28.5405,43.8774,45.1267,55.6184,33.084,46.9198,,,,,,,,,,
2017-07-20-15,31.4965,40.668,22.4275,28.1507,26.5587,37.9386,55.3033,27.8824,28.9797,,,,,,,,,,
2017-07-20-16,18.0799,44.957,14.2997,26.7387,11.2851,28.3667,45.9262,20.7289,20.1338,,,,,,,,,,
2017-07-20-17,20.5129,31.1537,14.1179,24.3456,11.3528,48.279,28.4119,16.1266,11.0872,,,,,,,,,,
2017-07-20-18,15.8523,15.6625,10.0721,27.6904,7.82134,16.9259,25.7064,11.0758,13.4372,,,,,,,,,,
2017-07-20-19,7.08002,5.25885,4.88943,11.9132,4.97721,9.27048,13.3601,5.65001,13.1141,,,,,,,,,,
2017-07-20-20,0.624469,0.120816,1.24652,1.54136,1.03946,0.792291,0.914415,1.8527,2.48951,,,,,,,,,,
2017-07-20-21,0.00270333,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-20-22,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-20-23,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-21-0,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-21-1,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-21-2,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-21-3,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-21-4,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-21-5,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-21-6,0.100023,0,0.178542,0.019656,0.104962,0.0711031,0,0.209532,0.0238068,,,,,,,,,,
2017-07-21-7,2.61682,1.29877,4.05241,2.0131,2.12971,2.62066,8.0311,3.1393,4.11858,,,,,,,,,,
2017-07-21-8,15.0224,15.9142,15.4611,6.70106,9.2908,16.567,25.9153,9.64581,12.6108,,,,,,,,,,
2017-07-21-9,28.9175,27.7138,31.3955,12.4685,23.1153,33.9432,53.1422,30.0476,32.35,,,,,,,,,,
2017-07-21-10,39.8417,43.8327,45.33,36.4471,35.5244,48.5905,60.4541,46.3323,45.2839,,,,,,,,,,
2017-07-21-11,48.5978,52.6154,55.0532,53.5249,45.4078,59.6081,62.5398,60.4297,53.8884,,,,,,,,,,
2017-07-21-12,51.3416,58.1796,55.769,61.1433,49.4031,64.0063,62.646,62.7713,59.3368,,,,,,,,,,
2017-07-21-13,55.8454,59.6831,59.9377,50.7452,44.5918,65.1981,62.4063,70.921,63.639,,,,,,,,,,
2017-07-21-14,55.9968,57.1426,61.8902,62.5569,50.947,63.9047,62.098,48.5158,54.6672,,,,,,,,,,
2017-07-21-15,50.4306,44.6281,51.6298,53.2203,53.439,55.7042,63.6289,63.1499,56.4493,,,,,,,,,,
2017-07-21-16,38.9117,44.269,47.8656,40.1113,48.0657,54.509,59.1014,50.9493,49.9603,,,,,,,,,,
2017-07-21-17,33.797,34.8823,36.9467,26.3128,31.8846,37.7625,57.0636,49.3098,38.3494,,,,,,,,,,
