Date,hour,A,B,C,D,E,F,G,H,NEW,Acon,Bcon,Ccon,Dcon,Econ,Fcon,Gcon,Hcon,NEWcon
2017-07-13-9,9,768.6,866.16,1220.4,994.2,400.1,459.81,879.12,962.64,1949.76,802.1419672,1087.63377,1342.563934,1049.222951,422.6852459,356.1609836,645.1760656,839.6498361,1882.982951
2017-07-13-10,10,744.66,855.18,1384.2,948,384.48,460.26,892.98,881.64,2571.84,806.8101639,1074.186885,1381.170492,1069.347541,439.0542623,344.062623,676.6170492,834.5242623,2334.92459
2017-07-13-11,11,746.46,877.5,1718.4,1170.6,384.98,409.14,829.62,862.56,2613.24,785.1216393,1095.379672,1385.645902,1177.003279,436.9677049,345.8065574,633.0186885,835.2619672,2462.287869
2017-07-13-12,12,740.34,901.98,1492.2,994.8,376.89,206.01,641.7,747.36,2543.4,794.8740984,1126.507869,1448.832787,1061.006557,355.6442623,208.522623,526.4203279,816.0137705,2424.505574
2017-07-13-13,13,780.84,872.64,1387.8,928.8,382,426.24,908.64,945.27,2656.44,818.3803279,1126.622951,1407.92459,1052.744262,450.3122951,309.0098361,646.3740984,864.6506557,2510.89377
2017-07-13-14,14,708.48,858.96,1872,1089.6,347.3,411.84,774.36,848.79,2644.2,785.3488525,1132.598361,1646.557377,1108.947541,458.7267213,347.9606557,574.2442623,854.4231148,2505.322623
2017-07-13-15,15,709.02,866.88,1618.2,1133.4,348.22,392.76,833.76,870.66,2618.28,793.3721311,1133.380328,1551.540984,1158.531148,462.7295082,336.7563934,613.2570492,848.8327869,2456.309508
2017-07-13-16,16,706.14,911.34,1700.4,997.2,354.85,310.68,642.24,915.57,2569.68,804.0216393,1157.107869,1504.937705,1042.337705,462.9536066,339.4165574,507.3137705,838.3529508,2420.817049
2017-07-13-17,17,748.08,918.54,1544.4,972,362.31,244.8,332.46,880.11,2476.8,864.2980328,1211.680328,1385.370492,1111.013115,461.5457377,289.8486885,362.0567213,834.0004918,2378.401967
2017-07-13-18,18,876.06,966.42,1576.8,1184.4,382.61,383.13,386.82,1010.52,2146.32,1002.67082,1297.245246,1417.485246,1170.659016,373.8481967,310.8688525,361.8619672,836.3508197,2174.842623
2017-07-13-19,19,878.4,976.14,1195.2,1210.8,348.51,349.38,392.4,1046.16,1735.56,1047.473115,1382.526885,1293.088525,1177.347541,369.4837705,330.5906557,366.0845902,827.1177049,1975.314098
2017-07-13-20,20,923.4,1048.86,1110,878.4,305.39,357.57,474.66,1107.9,1443.96,1098.298033,1442.891803,1207.75082,980.6065574,354.5263934,324.36,426.9659016,831.9909836,1769.618361
2017-07-13-21,21,910.44,1072.8,1063.2,917.4,310.97,372.87,731.52,1042.02,1219.32,1095.474098,1449.076721,1211.252459,965.8622951,358.422623,345.2739344,542.7767213,831.4878689,1358.734426
2017-07-13-22,22,865.62,1036.44,1244.4,825.6,354.2,388.89,775.44,1005.57,845.28,1040.43541,1384.483279,1205.537705,926.852459,360.5468852,349.2545902,538.4714754,817.4272131,943.8196721
2017-07-13-23,23,768.42,999.36,995.4,840,389.92,337.32,751.32,1053.9,774.36,931.777377,1294.028852,969.452459,806.6655738,363.7878689,324.9737705,534.3698361,809.3154098,836.722623
2017-07-14-0,0,658.8,911.34,398.4,477.6,375.48,167.76,622.08,988.38,713.16,784.9239344,1111.591475,415.052459,434.0852459,357.9016393,184.3214754,461.4314754,830.4108197,803.8918033
2017-07-14-1,1,554.76,802.8,483.6,367.2,367.5,211.14,737.1,884.52,676.8,669.844918,965.4963934,436.1606557,383.4196721,358.0927869,176.7585246,537.202623,816.4785246,777.1278689
2017-07-14-2,2,507.42,716.4,474,307.2,367.63,389.52,757.98,950.58,671.4,600.9786885,873.7140984,379.5639344,318.0295082,359.0086885,313.117377,534.9245902,806.7821311,766.4281967
2017-07-14-3,3,480.6,667.8,468.6,370.2,342.98,387.54,749.88,1054.53,663.84,615.9363934,818.3331148,417.5213115,375.157377,358.0234426,300.535082,530.1678689,808.8137705,760.5265574
2017-07-14-4,4,575.64,638.1,379.2,292.2,352.51,273.6,439.38,999.45,673.92,597.7711475,789.6068852,376.2393443,324.9147541,355.2760656,313.3180328,359.7344262,820.3706557,764.6459016
2017-07-14-5,5,518.58,637.74,834,606,346.69,335.16,767.7,880.11,679.32,568.4488525,783.1209836,849.6196721,608.4885246,349.5957377,302.9001639,525.9983607,815.7172131,775.2983607
2017-07-14-6,6,643.14,656.64,1061.4,977.4,336.96,320.13,737.46,1021.05,703.08,658.4665574,845.0232787,1159.022951,937.8196721,355.6793443,303.8931148,523.0416393,816.0521311,857.2367213
2017-07-14-7,7,763.56,722.52,1353.6,1291.8,381.5,277.83,698.76,1083.69,730.08,774.392459,978.4062295,1372.2,1393.347541,418.0419672,303.7691803,519.0137705,813.1352459,1018.8
2017-07-14-8,8,806.76,815.22,1640.4,1239,348.52,212.13,847.98,1064.52,784.44,828.1386885,1065.502623,1572.22623,1348.868852,421.8731148,311.6685246,645.4504918,842.6036066,1413.643279
2017-07-14-9,9,714.96,879.48,1394.4,1032,371.01,217.62,847.26,943.65,1030.68,802.1419672,1087.63377,1342.563934,1049.222951,422.6852459,356.1609836,645.1760656,839.6498361,1882.982951
2017-07-14-10,10,645.48,931.14,1380,1038,384.62,167.4,921.6,1009.8,1622.88,806.8101639,1074.186885,1381.170492,1069.347541,439.0542623,344.062623,676.6170492,834.5242623,2334.92459
2017-07-14-11,11,631.26,941.58,1437.6,1105.8,376.92,206.28,834.84,1010.88,1693.44,785.1216393,1095.379672,1385.645902,1177.003279,436.9677049,345.8065574,633.0186885,835.2619672,2462.287869
2017-07-14-12,12,631.98,945.9,1726.2,1050.6,380.55,99.63,632.7,936.9,1713.6,794.8740984,1126.507869,1448.832787,1061.006557,355.6442623,208.522623,526.4203279,816.0137705,2424.505574
2017-07-14-13,13,666.54,951.66,1537.2,1124.4,376.85,148.77,795.24,1131.3,1714.32,818.3803279,1126.622951,1407.92459,1052.744262,450.3122951,309.0098361,646.3740984,864.6506557,2510.89377
2017-07-14-14,14,613.26,944.82,1732.8,1062.6,380.49,169.2,716.58,1055.34,1706.4,785.3488525,1132.598361,1646.557377,1108.947541,458.7267213,347.9606557,574.2442623,854.4231148,2505.322623
2017-07-14-15,15,567.18,940.68,1575,1140.6,333.5,209.52,798.66,1038.96,1695.24,793.3721311,1133.380328,1551.540984,1158.531148,462.7295082,336.7563934,613.2570492,848.8327869,2456.309508
2017-07-14-16,16,123.12,968.04,1745.4,1011.6,320.54,146.88,706.68,1043.73,1627.92,804.0216393,1157.107869,1504.937705,1042.337705,462.9536066,339.4165574,507.3137705,838.3529508,2420.817049
2017-07-14-17,17,621,1000.08,1563.6,1081.8,312.45,48.33,433.44,1000.71,1555.56,864.2980328,1211.680328,1385.370492,1111.013115,461.5457377,289.8486885,362.0567213,834.0004918,2378.401967
2017-07-14-18,18,813.06,1052.46,1780.2,1216.2,412.63,41.4,383.76,900.99,1514.52,1002.67082,1297.245246,1417.485246,1170.659016,373.8481967,310.8688525,361.8619672,836.3508197,2174.842623
2017-07-14-19,19,853.2,1102.5,1642.8,1230,402.05,23.49,382.86,902.07,1303.56,1047.473115,1382.526885,1293.088525,1177.347541,369.4837705,330.5906557,366.0845902,827.1177049,1975.314098
2017-07-14-20,20,886.5,1145.16,1194,969.6,373.71,24.12,514.44,983.97,1174.68,1098.298033,1442.891803,1207.75082,980.6065574,354.5263934,324.36,426.9659016,831.9909836,1769.618361
2017-07-14-21,21,883.08,1121.4,1134.6,916.8,386.85,24.57,799.2,804.06,1018.08,1095.474098,1449.076721,1211.252459,965.8622951,358.422623,345.2739344,542.7767213,831.4878689,1358.734426
2017-07-14-22,22,839.16,1080.18,1144.8,778.8,383.32,23.4,729.36,792,747.72,1040.43541,1384.483279,1205.537705,926.852459,360.5468852,349.2545902,538.4714754,817.4272131,943.8196721
2017-07-14-23,23,766.08,1004.76,1072.8,804.6,383.37,22.95,768.6,841.95,699.48,931.777377,1294.028852,969.452459,806.6655738,363.7878689,324.9737705,534.3698361,809.3154098,836.722623
2017-07-15-0,0,666,874.08,330.6,475.8,366.22,19.44,619.38,851.49,714.6,784.9239344,1111.591475,415.052459,434.0852459,357.9016393,184.3214754,461.4314754,830.4108197,803.8918033
2017-07-15-1,1,558.9,768.42,321,367.2,343.01,19.71,765,834.75,666,669.844918,965.4963934,436.1606557,383.4196721,358.0927869,176.7585246,537.202623,816.4785246,777.1278689
2017-07-15-2,2,504.72,698.58,271.2,302.4,391.06,23.13,743.58,878.13,659.52,600.9786885,873.7140984,379.5639344,318.0295082,359.0086885,313.117377,534.9245902,806.7821311,766.4281967
2017-07-15-3,3,509.22,650.34,322.2,347.4,390.39,22.23,730.98,838.08,632.16,615.9363934,818.3331148,417.5213115,375.157377,358.0234426,300.535082,530.1678689,808.8137705,760.5265574
2017-07-15-4,4,549.18,643.5,300.6,299.4,397.81,18.81,441.72,842.22,635.04,597.7711475,789.6068852,376.2393443,324.9147541,355.2760656,313.3180328,359.7344262,820.3706557,764.6459016
2017-07-15-5,5,504.18,649.62,721.8,627,385.96,20.79,750.6,820.62,623.52,568.4488525,783.1209836,849.6196721,608.4885246,349.5957377,302.9001639,525.9983607,815.7172131,775.2983607
2017-07-15-6,6,607.5,735.3,1001.4,1087.8,385.81,19.62,756.54,887.04,642.24,658.4665574,845.0232787,1159.022951,937.8196721,355.6793443,303.8931148,523.0416393,816.0521311,857.2367213
2017-07-15-7,7,738.54,875.16,1196.4,1236.6,370.87,25.47,642.78,847.53,651.6,774.392459,978.4062295,1372.2,1393.347541,418.0419672,303.7691803,519.0137705,813.1352459,1018.8
2017-07-15-8,8,758.7,902.7,1289.4,1202.4,378.8,19.08,528.66,898.2,690.12,828.1386885,1065.502623,1572.22623,1348.868852,421.8731148,311.6685246,645.4504918,842.6036066,1413.643279
2017-07-15-9,9,696.24,891,1234.8,901.2,371.06,19.71,529.92,888.3,901.44,802.1419672,1087.63377,1342.563934,1049.222951,422.6852459,356.1609836,645.1760656,839.6498361,1882.982951
2017-07-15-10,10,640.8,890.46,1353,1087.2,370.98,20.7,541.8,1037.16,1441.8,806.8101639,1074.186885,1381.170492,1069.347541,439.0542623,344.062623,676.6170492,834.5242623,2334.92459
2017-07-15-11,11,623.52,895.86,1294.2,1197.6,368.68,22.14,502.2,876.78,1558.08,785.1216393,1095.379672,1385.645902,1177.003279,436.9677049,345.8065574,633.0186885,835.2619672,2462.287869
2017-07-15-12,12,617.04,882.18,1498.8,1012.8,377.81,19.26,427.14,986.49,1559.52,794.8740984,1126.507869,1448.832787,1061.006557,355.6442623,208.522623,526.4203279,816.0137705,2424.505574
2017-07-15-13,13,663.3,903.06,1597.8,942.6,425.13,18.63,505.98,950.31,1590.48,818.3803279,1126.622951,1407.92459,1052.744262,450.3122951,309.0098361,646.3740984,864.6506557,2510.89377
2017-07-15-14,14,593.46,905.4,1927.2,1107.6,424.05,19.08,467.82,1011.69,1608.12,785.3488525,1132.598361,1646.557377,1108.947541,458.7267213,347.9606557,574.2442623,854.4231148,2505.322623
2017-07-15-15,15,603.72,889.38,1755,1144.8,433.73,26.28,486.18,887.94,1620,793.3721311,1133.380328,1551.540984,1158.531148,462.7295082,336.7563934,613.2570492,848.8327869,2456.309508
2017-07-15-16,16,624.42,947.88,1731,1039.8,447.38,18.09,335.7,874.17,1596.6,804.0216393,1157.107869,1504.937705,1042.337705,462.9536066,339.4165574,507.3137705,838.3529508,2420.817049
2017-07-15-17,17,674.1,977.4,1702.8,1072.8,415.01,28.26,144.18,1003.68,1577.16,864.2980328,1211.680328,1385.370492,1111.013115,461.5457377,289.8486885,362.0567213,834.0004918,2378.401967
2017-07-15-18,18,780.66,1049.94,1558.8,1085.4,385.09,28.71,139.5,961.47,1505.88,1002.67082,1297.245246,1417.485246,1170.659016,373.8481967,310.8688525,361.8619672,836.3508197,2174.842623
2017-07-15-19,19,802.08,1138.32,1635.6,1046.4,341.06,23.94,176.04,879.12,1247.76,1047.473115,1382.526885,1293.088525,1177.347541,369.4837705,330.5906557,366.0845902,827.1177049,1975.314098
2017-07-15-20,20,845.64,1209.96,1416.6,879.6,364.89,22.14,237.24,884.52,1132.56,1098.298033,1442.891803,1207.75082,980.6065574,354.5263934,324.36,426.9659016,831.9909836,1769.618361
2017-07-15-21,21,857.52,1223.28,1643.4,889.8,364.69,24.03,277.2,847.89,973.8,1095.474098,1449.076721,1211.252459,965.8622951,358.422623,345.2739344,542.7767213,831.4878689,1358.734426
2017-07-15-22,22,825.3,1133.46,1344,784.8,364,24.84,275.76,885.78,704.52,1040.43541,1384.483279,1205.537705,926.852459,360.5468852,349.2545902,538.4714754,817.4272131,943.8196721
2017-07-15-23,23,762.84,1037.7,974.4,829.8,370.62,23.04,282.96,844.92,676.44,931.777377,1294.028852,969.452459,806.6655738,363.7878689,324.9737705,534.3698361,809.3154098,836.722623
2017-07-16-0,0,683.82,890.1,408,462.6,373.25,20.07,262.26,813.6,647.28,784.9239344,1111.591475,415.052459,434.0852459,357.9016393,184.3214754,461.4314754,830.4108197,803.8918033
2017-07-16-1,1,588.06,758.16,442.8,387.6,364.85,18.09,275.76,795.06,624.6,669.844918,965.4963934,436.1606557,383.4196721,358.0927869,176.7585246,537.202623,816.4785246,777.1278689
2017-07-16-2,2,527.04,697.68,324,303,365.66,19.53,278.46,727.56,637.56,600.9786885,873.7140984,379.5639344,318.0295082,359.0086885,313.117377,534.9245902,806.7821311,766.4281967
2017-07-16-3,3,544.14,655.92,399,360,363.2,25.38,268.38,770.31,673.92,615.9363934,818.3331148,417.5213115,375.157377,358.0234426,300.535082,530.1678689,808.8137705,760.5265574
2017-07-16-4,4,550.98,644.4,466.2,314.4,359.67,18.99,219.78,655.38,698.04,597.7711475,789.6068852,376.2393443,324.9147541,355.2760656,313.3180328,359.7344262,820.3706557,764.6459016
2017-07-16-5,5,505.08,655.56,1014,646.8,381.42,19.71,262.62,729.63,718.92,568.4488525,783.1209836,849.6196721,608.4885246,349.5957377,302.9001639,525.9983607,815.7172131,775.2983607
2017-07-16-6,6,545.22,728.82,1387.8,1034.4,385.1,25.11,255.78,721.98,834.48,658.4665574,845.0232787,1159.022951,937.8196721,355.6793443,303.8931148,523.0416393,816.0521311,857.2367213
2017-07-16-7,7,634.14,861.12,1345.8,1443.6,430.24,20.16,234.54,754.92,1068.12,774.392459,978.4062295,1372.2,1393.347541,418.0419672,303.7691803,519.0137705,813.1352459,1018.8
2017-07-16-8,8,759.24,877.5,1316.4,1476,431.1,18.63,209.88,664.38,1575,828.1386885,1065.502623,1572.22623,1348.868852,421.8731148,311.6685246,645.4504918,842.6036066,1413.643279
2017-07-16-9,9,748.62,867.96,1206.6,1003.8,437.15,20.25,207.72,657,2072.88,802.1419672,1087.63377,1342.563934,1049.222951,422.6852459,356.1609836,645.1760656,839.6498361,1882.982951
2017-07-16-10,10,722.52,825.12,1251,1068,464.69,25.56,208.08,650.79,2494.44,806.8101639,1074.186885,1381.170492,1069.347541,439.0542623,344.062623,676.6170492,834.5242623,2334.92459
2017-07-16-11,11,713.88,837.36,1098.6,1301.4,364.72,18.63,212.22,647.73,2738.52,785.1216393,1095.379672,1385.645902,1177.003279,436.9677049,345.8065574,633.0186885,835.2619672,2462.287869
2017-07-16-12,12,700.38,854.82,1388.4,1011.6,359.09,21.24,212.94,596.97,2663.28,794.8740984,1126.507869,1448.832787,1061.006557,355.6442623,208.522623,526.4203279,816.0137705,2424.505574
2017-07-16-13,13,757.62,852.12,1466.4,1075.8,383.65,18.81,206.64,617.31,2829.24,818.3803279,1126.622951,1407.92459,1052.744262,450.3122951,309.0098361,646.3740984,864.6506557,2510.89377
2017-07-16-14,14,671.22,859.68,1629,1127.4,413.35,20.07,206.64,624.87,2830.32,785.3488525,1132.598361,1646.557377,1108.947541,458.7267213,347.9606557,574.2442623,854.4231148,2505.322623
2017-07-16-15,15,676.62,851.76,1595.4,1177.2,395.5,18.72,160.38,547.56,2734.92,793.3721311,1133.380328,1551.540984,1158.531148,462.7295082,336.7563934,613.2570492,848.8327869,2456.309508
2017-07-16-16,16,682.92,874.08,1540.8,1048.8,445.31,20.97,168.84,550.53,2699.28,804.0216393,1157.107869,1504.937705,1042.337705,462.9536066,339.4165574,507.3137705,838.3529508,2420.817049
2017-07-16-17,17,696.96,902.52,1428.6,1081.2,432,21.51,127.62,530.55,2624.76,864.2980328,1211.680328,1385.370492,1111.013115,461.5457377,289.8486885,362.0567213,834.0004918,2378.401967
2017-07-16-18,18,818.64,980.82,1262.4,1073.4,391.78,24.57,127.98,642.06,2397.24,1002.67082,1297.245246,1417.485246,1170.659016,373.8481967,310.8688525,361.8619672,836.3508197,2174.842623
2017-07-16-19,19,825.84,1070.28,1159.8,1145.4,429.55,23.85,127.8,647.01,2022.84,1047.473115,1382.526885,1293.088525,1177.347541,369.4837705,330.5906557,366.0845902,827.1177049,1975.314098
2017-07-16-20,20,874.8,1113.3,1378.8,921,419.93,33.93,127.98,736.2,1685.52,1098.298033,1442.891803,1207.75082,980.6065574,354.5263934,324.36,426.9659016,831.9909836,1769.618361
2017-07-16-21,21,874.98,1101.78,1336.2,928.8,446.93,48.69,127.8,677.07,1353.96,1095.474098,1449.076721,1211.252459,965.8622951,358.422623,345.2739344,542.7767213,831.4878689,1358.734426
2017-07-16-22,22,836.28,1055.52,1033.8,816,449,40.05,128.52,683.73,929.16,1040.43541,1384.483279,1205.537705,926.852459,360.5468852,349.2545902,538.4714754,817.4272131,943.8196721
2017-07-16-23,23,768.78,986.04,962.4,828.6,440.1,25.47,128.34,676.98,822.24,931.777377,1294.028852,969.452459,806.6655738,363.7878689,324.9737705,534.3698361,809.3154098,836.722623
2017-07-17-0,0,678.96,857.52,388.2,479.4,441.32,124.11,127.8,735.3,752.76,784.9239344,1111.591475,415.052459,434.0852459,357.9016393,184.3214754,461.4314754,830.4108197,803.8918033
2017-07-17-1,1,589.5,748.26,414,396,451.27,179.01,127.98,646.65,721.08,669.844918,965.4963934,436.1606557,383.4196721,358.0927869,176.7585246,537.202623,816.4785246,777.1278689
2017-07-17-2,2,528.84,676.8,358.8,367.2,421.52,301.32,128.52,715.41,708.12,600.9786885,873.7140984,379.5639344,318.0295082,359.0086885,313.117377,534.9245902,806.7821311,766.4281967
2017-07-17-3,3,550.98,647.1,413.4,426.6,438.87,276.39,127.98,807.12,736.92,615.9363934,818.3331148,417.5213115,375.157377,358.0234426,300.535082,530.1678689,808.8137705,760.5265574
2017-07-17-4,4,515.7,634.14,436.8,331.2,450.06,312.12,129.06,807.21,755.28,597.7711475,789.6068852,376.2393443,324.9147541,355.2760656,313.3180328,359.7344262,820.3706557,764.6459016
2017-07-17-5,5,491.04,638.82,924.6,655.8,441.77,338.58,129.6,815.58,783,568.4488525,783.1209836,849.6196721,608.4885246,349.5957377,302.9001639,525.9983607,815.7172131,775.2983607
2017-07-17-6,6,537.84,705.96,1065,1065.6,424.3,272.7,128.7,1027.53,885.24,658.4665574,845.0232787,1159.022951,937.8196721,355.6793443,303.8931148,523.0416393,816.0521311,857.2367213
2017-07-17-7,7,620.28,839.7,1491.6,1390.8,357.8,286.29,334.98,1015.74,1051.2,774.392459,978.4062295,1372.2,1393.347541,418.0419672,303.7691803,519.0137705,813.1352459,1018.8
2017-07-17-8,8,746.82,879.12,1857,1381.8,327.35,158.49,919.62,988.83,1461.6,828.1386885,1065.502623,1572.22623,1348.868852,421.8731148,311.6685246,645.4504918,842.6036066,1413.643279
2017-07-17-9,9,756.9,850.5,1366.8,1174.2,252.36,178.02,911.7,951.3,1958.76,802.1419672,1087.63377,1342.563934,1049.222951,422.6852459,356.1609836,645.1760656,839.6498361,1882.982951
2017-07-17-10,10,747.9,818.64,1446.6,1120.2,159.26,176.94,960.84,926.46,1714.32,806.8101639,1074.186885,1381.170492,1069.347541,439.0542623,344.062623,676.6170492,834.5242623,2334.92459
2017-07-17-11,11,740.16,833.94,1434.6,1252.2,281.92,199.26,873.36,879.21,2520,785.1216393,1095.379672,1385.645902,1177.003279,436.9677049,345.8065574,633.0186885,835.2619672,2462.287869
2017-07-17-12,12,748.26,851.76,1345.8,912,309.83,155.61,640.98,968.13,2475.72,794.8740984,1126.507869,1448.832787,1061.006557,355.6442623,208.522623,526.4203279,816.0137705,2424.505574
2017-07-17-13,13,802.08,849.42,1556.4,958.2,403.27,188.73,948.96,1116.63,2554.2,818.3803279,1126.622951,1407.92459,1052.744262,450.3122951,309.0098361,646.3740984,864.6506557,2510.89377
2017-07-17-14,14,722.16,865.44,1920.6,1158.6,423.76,138.69,779.58,1014.48,2630.88,785.3488525,1132.598361,1646.557377,1108.947541,458.7267213,347.9606557,574.2442623,854.4231148,2505.322623
2017-07-17-15,15,714.24,856.44,1689,1054.2,417.77,148.23,834.84,974.88,2621.88,793.3721311,1133.380328,1551.540984,1158.531148,462.7295082,336.7563934,613.2570492,848.8327869,2456.309508
2017-07-17-16,16,748.98,903.6,1539,1030.2,396.72,189.81,715.68,952.83,2594.52,804.0216393,1157.107869,1504.937705,1042.337705,462.9536066,339.4165574,507.3137705,838.3529508,2420.817049
2017-07-17-17,17,803.7,932.4,1773,1092.6,303.09,99.99,511.38,1090.8,2560.68,864.2980328,1211.680328,1385.370492,1111.013115,461.5457377,289.8486885,362.0567213,834.0004918,2378.401967
2017-07-17-18,18,912.06,1001.7,1382.4,1203,333.54,43.74,500.94,997.83,2386.44,1002.67082,1297.245246,1417.485246,1170.659016,373.8481967,310.8688525,361.8619672,836.3508197,2174.842623
2017-07-17-19,19,917.1,1079.28,1173.6,1267.8,316.4,35.46,505.8,1019.79,2031.84,1047.473115,1382.526885,1293.088525,1177.347541,369.4837705,330.5906557,366.0845902,827.1177049,1975.314098
2017-07-17-20,20,955.8,1136.7,1098,914.4,310.71,33.75,586.62,1024.2,1692.36,1098.298033,1442.891803,1207.75082,980.6065574,354.5263934,324.36,426.9659016,831.9909836,1769.618361
2017-07-17-21,21,940.86,1124.82,951.6,861.6,335.15,27.99,747,1030.32,1340.28,1095.474098,1449.076721,1211.252459,965.8622951,358.422623,345.2739344,542.7767213,831.4878689,1358.734426
2017-07-17-22,22,860.76,1053.36,955.2,786,418.25,30.15,772.92,907.02,937.44,1040.43541,1384.483279,1205.537705,926.852459,360.5468852,349.2545902,538.4714754,817.4272131,943.8196721
2017-07-17-23,23,773.1,969.3,1066.2,822.6,385.82,24.48,735.48,958.41,855,931.777377,1294.028852,969.452459,806.6655738,363.7878689,324.9737705,534.3698361,809.3154098,836.722623
2017-07-18-0,0,678.78,855.18,422.4,460.2,399.02,23.4,661.86,1021.14,793.08,784.9239344,1111.591475,415.052459,434.0852459,357.9016393,184.3214754,461.4314754,830.4108197,803.8918033
2017-07-18-1,1,580.68,729.9,435.6,366,401.69,22.05,763.38,1002.51,761.76,669.844918,965.4963934,436.1606557,383.4196721,358.0927869,176.7585246,537.202623,816.4785246,777.1278689
2017-07-18-2,2,513.36,680.58,345.6,300.6,407.77,27.54,776.7,949.95,730.08,600.9786885,873.7140984,379.5639344,318.0295082,359.0086885,313.117377,534.9245902,806.7821311,766.4281967
2017-07-18-3,3,543.42,649.98,406.8,378.6,407.52,22.95,745.74,964.44,747,615.9363934,818.3331148,417.5213115,375.157377,358.0234426,300.535082,530.1678689,808.8137705,760.5265574
2017-07-18-4,4,537.84,643.68,322.2,296.4,411.01,21.78,484.74,1030.5,759.24,597.7711475,789.6068852,376.2393443,324.9147541,355.2760656,313.3180328,359.7344262,820.3706557,764.6459016
2017-07-18-5,5,522.54,656.1,680.4,569.4,395.82,21.96,775.8,994.14,825.48,568.4488525,783.1209836,849.6196721,608.4885246,349.5957377,302.9001639,525.9983607,815.7172131,775.2983607
2017-07-18-6,6,636.3,735.3,1316.4,1115.4,407.17,22.14,744.84,1032.84,912.96,658.4665574,845.0232787,1159.022951,937.8196721,355.6793443,303.8931148,523.0416393,816.0521311,857.2367213
2017-07-18-7,7,730.44,855.72,1676.4,1527,412.67,61.38,719.82,1012.86,1062,774.392459,978.4062295,1372.2,1393.347541,418.0419672,303.7691803,519.0137705,813.1352459,1018.8
2017-07-18-8,8,766.08,892.8,1660.8,1489.2,373.25,305.1,884.7,997.2,1459.8,828.1386885,1065.502623,1572.22623,1348.868852,421.8731148,311.6685246,645.4504918,842.6036066,1413.643279
2017-07-18-9,9,712.26,881.46,1367.4,1104,394.42,401.22,845.28,1015.02,1953,802.1419672,1087.63377,1342.563934,1049.222951,422.6852459,356.1609836,645.1760656,839.6498361,1882.982951
2017-07-18-10,10,663.84,843.66,1485.6,1148.4,384.87,345.51,897.3,974.7,2273.76,806.8101639,1074.186885,1381.170492,1069.347541,439.0542623,344.062623,676.6170492,834.5242623,2334.92459
2017-07-18-11,11,635.04,843.12,1518.6,1261.8,458.32,370.53,804.96,932.94,2544.84,785.1216393,1095.379672,1385.645902,1177.003279,436.9677049,345.8065574,633.0186885,835.2619672,2462.287869
2017-07-18-12,12,639.36,856.98,1405.8,1006.2,414.62,251.82,568.26,948.24,2472.48,794.8740984,1126.507869,1448.832787,1061.006557,355.6442623,208.522623,526.4203279,816.0137705,2424.505574
2017-07-18-13,13,685.44,860.04,1467.6,1055.4,518.88,387.09,698.94,1098.18,2612.52,818.3803279,1126.622951,1407.92459,1052.744262,450.3122951,309.0098361,646.3740984,864.6506557,2510.89377
2017-07-18-14,14,622.62,854.1,1879.8,1087.8,509.18,393.93,686.52,964.89,2638.08,785.3488525,1132.598361,1646.557377,1108.947541,458.7267213,347.9606557,574.2442623,854.4231148,2505.322623
2017-07-18-15,15,640.62,848.34,1939.2,1164.6,503.31,316.62,717.48,1001.34,2583.36,793.3721311,1133.380328,1551.540984,1158.531148,462.7295082,336.7563934,613.2570492,848.8327869,2456.309508
2017-07-18-16,16,644.94,896.58,1941.6,1015.8,498.85,366.75,630.18,973.26,2519.28,804.0216393,1157.107869,1504.937705,1042.337705,462.9536066,339.4165574,507.3137705,838.3529508,2420.817049
2017-07-18-17,17,690.66,925.38,1773,1170.6,453.57,390.87,388.8,1072.35,2518.92,864.2980328,1211.680328,1385.370492,1111.013115,461.5457377,289.8486885,362.0567213,834.0004918,2378.401967
2017-07-18-18,18,824.58,978.12,1708.8,1127.4,291.78,349.47,333.54,1067.58,2299.68,1002.67082,1297.245246,1417.485246,1170.659016,373.8481967,310.8688525,361.8619672,836.3508197,2174.842623
2017-07-18-19,19,869.22,1046.34,1351.2,1194.6,301,357.75,330.66,992.61,1992.96,1047.473115,1382.526885,1293.088525,1177.347541,369.4837705,330.5906557,366.0845902,827.1177049,1975.314098
2017-07-18-20,20,943.2,1121.04,1266.6,990.6,284.22,407.7,511.38,902.97,1618.92,1098.298033,1442.891803,1207.75082,980.6065574,354.5263934,324.36,426.9659016,831.9909836,1769.618361
2017-07-18-21,21,939.78,1114.2,1273.8,874.2,289.45,400.77,779.04,1055.16,1297.44,1095.474098,1449.076721,1211.252459,965.8622951,358.422623,345.2739344,542.7767213,831.4878689,1358.734426
2017-07-18-22,22,892.62,1056.96,1257,837,398.27,472.41,757.98,1010.61,903.6,1040.43541,1384.483279,1205.537705,926.852459,360.5468852,349.2545902,538.4714754,817.4272131,943.8196721
2017-07-18-23,23,795.42,983.88,1018.8,927,409.68,362.25,775.08,976.05,824.4,931.777377,1294.028852,969.452459,806.6655738,363.7878689,324.9737705,534.3698361,809.3154098,836.722623
2017-07-19-0,0,659.88,852.3,505.8,468.6,408.86,323.73,640.8,944.01,771.12,784.9239344,1111.591475,415.052459,434.0852459,357.9016393,184.3214754,461.4314754,830.4108197,803.8918033
2017-07-19-1,1,563.76,763.56,505.8,372.6,403.6,102.78,751.32,1065.24,748.08,669.844918,965.4963934,436.1606557,383.4196721,358.0927869,176.7585246,537.202623,816.4785246,777.1278689
